#,old_path,new_path,bytes,mimetype,role,db_referenced,ref_columns,old_uid_in_consolidation
1,08ae347a-f13a-498c-a420-b0ef0bf706c7/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_flux_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_flux_mask.png,37683,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
2,08ae347a-f13a-498c-a420-b0ef0bf706c7/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_flux_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_flux_src.png,1947152,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
3,08ae347a-f13a-498c-a420-b0ef0bf706c7/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_mask.png,67948,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
4,08ae347a-f13a-498c-a420-b0ef0bf706c7/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_pad_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_pad_mask.png,68305,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
5,08ae347a-f13a-498c-a420-b0ef0bf706c7/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_pad_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_pad_src.png,3536954,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
6,08ae347a-f13a-498c-a420-b0ef0bf706c7/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_source1080.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/995b30ce-b499-4332-9487-4d9d15f9763d_source1080.png,3534671,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
7,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/0ef973fa-ecac-4f17-9e76-658960d192d0.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/0ef973fa-ecac-4f17-9e76-658960d192d0.png,1941374,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
8,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/13af0bf8-70f8-48bc-a224-e5ff8c5661c4.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/13af0bf8-70f8-48bc-a224-e5ff8c5661c4.png,1818060,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
9,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/141e8fb8-e014-4b9f-8f66-d8e94682d703.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/141e8fb8-e014-4b9f-8f66-d8e94682d703.jpg,319723,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
10,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/52595021-3fae-4251-9f26-eceda55c8a66.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/52595021-3fae-4251-9f26-eceda55c8a66.jpg,913850,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
11,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/6933c7a0-5a49-40e3-8370-a09a78959237.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/6933c7a0-5a49-40e3-8370-a09a78959237.jpg,642209,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
12,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/6e601b52-ce70-4f12-86c2-ff26bf011298.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/6e601b52-ce70-4f12-86c2-ff26bf011298.png,1944712,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
13,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/8f748d64-3b9c-4833-8ae0-8a74cd95da7b.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/8f748d64-3b9c-4833-8ae0-8a74cd95da7b.jpg,470671,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
14,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/91e570a1-7814-41a9-974a-054721bb6f41.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/91e570a1-7814-41a9-974a-054721bb6f41.jpg,597154,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
15,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/aadaab23-38b0-4d0f-a534-3392ed2beb61.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/aadaab23-38b0-4d0f-a534-3392ed2beb61.jpg,470228,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
16,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/c0f619b9-444e-43ed-b424-a2e4ce2c6411.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c0f619b9-444e-43ed-b424-a2e4ce2c6411.jpg,597154,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
17,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/c8a3cb8a-9916-4f23-9032-ccbe49155997.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c8a3cb8a-9916-4f23-9032-ccbe49155997.jpg,599675,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
18,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/da40cb6c-79d0-4a13-b803-6ba44cf4c031.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/da40cb6c-79d0-4a13-b803-6ba44cf4c031.png,1815516,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
19,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/e1cf0054-041f-4053-8504-1c175c122c1d.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/e1cf0054-041f-4053-8504-1c175c122c1d.jpg,596864,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
20,2179ae5d-c9bc-47e4-acdb-6aa1ac841f1b/8d4a4d22-41c0-43ab-ba99-92750f81e335/eedfc871-c092-476a-8bcc-8e353998eeb5.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/eedfc871-c092-476a-8bcc-8e353998eeb5.jpg,1466637,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
21,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/03114f53-16ec-45a2-9a26-31b6d1ea624a.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/03114f53-16ec-45a2-9a26-31b6d1ea624a.png,840210,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
22,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/2abe0740-2f0c-4ba8-a393-57fdd1db3658.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/2abe0740-2f0c-4ba8-a393-57fdd1db3658.jpg,501457,image/jpeg,composite/other,NO(storage-only),,yes
23,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/6465a932-0fcd-4cee-9e59-363024bd170b.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/6465a932-0fcd-4cee-9e59-363024bd170b.png,1944064,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
24,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/8742a3da-633e-4e5a-a6bd-57c7c744066c.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/8742a3da-633e-4e5a-a6bd-57c7c744066c.png,933995,image/png,composite/other,yes,artist_looks.composition_recipe_json|artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
25,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/c2b6a056-7de1-44a2-8f5e-904fb17c8f62.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c2b6a056-7de1-44a2-8f5e-904fb17c8f62.png,1830644,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
26,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/d905e728-a773-4a9b-a928-986d1a288c31.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d905e728-a773-4a9b-a928-986d1a288c31.png,933995,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
27,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/da34e455-fe02-4930-a672-950ed543027a.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/da34e455-fe02-4930-a672-950ed543027a.png,840210,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
28,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/imported_1780912067465.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/imported_1780912067465.jpg,474680,image/jpeg,imported-look,yes,artist_looks.composition_recipe_json|artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
29,65cf99cb-fd18-4168-b9ab-dfbfd42112ca/8d4a4d22-41c0-43ab-ba99-92750f81e335/imported_1780912291807.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/imported_1780912291807.jpg,396853,image/jpeg,imported-look,yes,artist_looks.composition_recipe_json|artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
30,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/78a1f668-0daf-4f27-abda-eee7021808c2.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/78a1f668-0daf-4f27-abda-eee7021808c2.jpg,491041,image/jpeg,composite/other,NO(storage-only),,yes
31,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/80fd106d-939e-42ce-a088-0e1d6fedef4c.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/80fd106d-939e-42ce-a088-0e1d6fedef4c.jpg,446068,image/jpeg,composite/other,NO(storage-only),,yes
32,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9048975b-79c5-4019-ad66-f637f2e13dd4.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9048975b-79c5-4019-ad66-f637f2e13dd4.jpg,543914,image/jpeg,composite/other,NO(storage-only),,yes
33,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9928c98e-784b-4b06-ac76-6572a33b4e01.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9928c98e-784b-4b06-ac76-6572a33b4e01.jpg,543743,image/jpeg,composite/other,NO(storage-only),,yes
34,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/b10d0f71-bfa2-4b22-8d3c-e3606d808310.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/b10d0f71-bfa2-4b22-8d3c-e3606d808310.jpg,655510,image/jpeg,composite/other,NO(storage-only),,yes
35,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/ba722ec7-78b5-4a6b-93a8-a712feaa71ad.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/ba722ec7-78b5-4a6b-93a8-a712feaa71ad.jpg,497019,image/jpeg,composite/other,NO(storage-only),,yes
36,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c8f72fcf-0614-47c4-8ed6-ab3e0b71280c.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c8f72fcf-0614-47c4-8ed6-ab3e0b71280c.jpg,1012910,image/jpeg,composite/other,NO(storage-only),,yes
37,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/ce601fd0-be23-48eb-90f3-9ddb2867f93f.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/ce601fd0-be23-48eb-90f3-9ddb2867f93f.jpg,518681,image/jpeg,composite/other,NO(storage-only),,yes
38,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d12a45e3-8c03-4304-b4b2-5557b16ad453.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d12a45e3-8c03-4304-b4b2-5557b16ad453.jpg,646376,image/jpeg,composite/other,NO(storage-only),,yes
39,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d83e9a8b-2c92-4b35-a10c-7eb235e3942b.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d83e9a8b-2c92-4b35-a10c-7eb235e3942b.jpg,626107,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
40,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d95c273f-5323-4308-b5dc-ac76ed804545.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d95c273f-5323-4308-b5dc-ac76ed804545.jpg,640970,image/jpeg,composite/other,NO(storage-only),,yes
41,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/eaae159d-6b8c-45fe-a315-c67cf3aa3d00.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/eaae159d-6b8c-45fe-a315-c67cf3aa3d00.jpg,533636,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
42,79516c91-c2ad-4b54-93f1-05023fbca28c/8d4a4d22-41c0-43ab-ba99-92750f81e335/fa87bcdb-87ed-4634-8c62-afb070caf464.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/fa87bcdb-87ed-4634-8c62-afb070caf464.jpg,600390,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
43,7da90f41-c450-48e1-95da-0153f5a4d042/8d4a4d22-41c0-43ab-ba99-92750f81e335/de23010d-f2a8-445b-82ad-ed45d65736fa.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/de23010d-f2a8-445b-82ad-ed45d65736fa.png,1022138,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
44,7da90f41-c450-48e1-95da-0153f5a4d042/8d4a4d22-41c0-43ab-ba99-92750f81e335/de23010d-f2a8-445b-82ad-ed45d65736fa_vton_raw.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/de23010d-f2a8-445b-82ad-ed45d65736fa_vton_raw.png,1022138,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
45,830373d2-4017-4d18-8ff0-7c2220304f62/8d4a4d22-41c0-43ab-ba99-92750f81e335/1b86f9c1-d75f-4eec-8e35-4d1debfab780.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/1b86f9c1-d75f-4eec-8e35-4d1debfab780.png,16214282,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
46,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/02b72411-8c4c-4206-a368-b31aa1cde677.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/02b72411-8c4c-4206-a368-b31aa1cde677.jpg,288598,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
47,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/03373cde-03c2-4d50-8079-2ba1816ad2a8.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/03373cde-03c2-4d50-8079-2ba1816ad2a8.png,7842804,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
48,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_flux_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_flux_mask.png,32131,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
49,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_flux_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_flux_src.png,716696,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
50,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_mask.png,58266,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
51,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_pad_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_pad_mask.png,58651,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
52,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_pad_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_pad_src.png,954355,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
53,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_source1080.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/0bb84161-7c2c-4968-b373-a8944c0a6771_source1080.png,956762,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
54,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/1347d0fc-71cc-4b18-92b8-91b100c26b28.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/1347d0fc-71cc-4b18-92b8-91b100c26b28.jpg,214687,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
55,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/136b960d-4e6b-4b2d-b0ab-bf19fd28af28.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/136b960d-4e6b-4b2d-b0ab-bf19fd28af28.png,1028810,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
56,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/136b960d-4e6b-4b2d-b0ab-bf19fd28af28_vton_raw.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/136b960d-4e6b-4b2d-b0ab-bf19fd28af28_vton_raw.png,1028810,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
57,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/196a21d6-cef4-479c-acb6-328e9c8f7756.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/196a21d6-cef4-479c-acb6-328e9c8f7756.png,7889601,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
58,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/20f6c4a0-653b-466c-8abd-689802200ef0.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/20f6c4a0-653b-466c-8abd-689802200ef0.png,1410345,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
59,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/24863956-6253-47b1-97db-00da73402f2f.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/24863956-6253-47b1-97db-00da73402f2f.png,7096902,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
60,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/265ec9b6-5dc9-4152-8238-64132c74ba50.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/265ec9b6-5dc9-4152-8238-64132c74ba50.png,832308,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
61,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/265ec9b6-5dc9-4152-8238-64132c74ba50_vton_raw.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/265ec9b6-5dc9-4152-8238-64132c74ba50_vton_raw.png,832308,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
62,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/26c9c706-2921-4d38-bc69-0afaa5d8cb82.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/26c9c706-2921-4d38-bc69-0afaa5d8cb82.png,9208669,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
63,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/27f0a490-fed7-4748-8ecd-d58fc16d3908.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/27f0a490-fed7-4748-8ecd-d58fc16d3908.jpg,200350,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
64,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/291614a8-b616-4a4a-bc2d-ca9413cae6be.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/291614a8-b616-4a4a-bc2d-ca9413cae6be.jpg,193425,image/jpeg,composite/other,yes,artist_looks.composition_recipe_json|artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
65,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/2c7199ee-6a45-4942-ada5-a766a0614a93.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/2c7199ee-6a45-4942-ada5-a766a0614a93.png,1342118,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
